aa_usage	GNM1001	GNM1017	GNM1024	GNM1025	GNM1026	GNM1031	GNM1055	GNM1059	GNM1066	GNM1080	GNM1089	GNM1097	GNM1107	GNM1120	GNM1121	GNM1122	GNM1123	GNM1125	GNM1126	GNM1130	GNM1146	GNM1148	GNM1154	GNM1170	GNM1176	GNM1177	GNM1179	GNM1186	GNM1187	GNM1213	GNM1232	GNM1234	GNM1283	GNM1304	GNM1306	GNM1310	GNM1311	GNM1362	GNM1363	GNM1367	GNM1382	GNM1383	GNM1419	GNM1427	GNM1431	GNM1546	GNM1670	GNM1683	GNM225	GNM3434	GNM356	GNM358	GNM3890	GNM425	GNM4360	GNM444	GNM4440	GNM4509	GNM4614	GNM4775	GNM4797	GNM483	GNM495	GNM4965	GNM50571	GNM565	GNM575	GNM576	GNM594	GNM653	GNM683	GNM684	GNM694	GNM717	GNM742	GNM746	GNM747	GNM756	GNM773	GNM774	GNM786	GNM791	GNM811	GNM833	GNM848	GNM855	GNM858	GNM859	GNM860	GNM875	GNM915	GNM926	GNM962	GNM973
E	6.21770201887455	5.82723038091851	5.88038579474128	5.75689594667343	5.96851061512066	5.652430229147	5.91232799862866	6.23073647948281	5.73802683515193	6.17954371381164	5.09400195047817	5.64817143111727	5.75899362443582	5.61210195581128	5.58626692773112	5.86201481107301	5.36575948788636	5.37548608810674	6.10495675146743	6.57572123019209	6.20618141859997	5.75251805207649	5.75721183111823	5.77572057798546	5.91296652792076	6.29471258901521	5.93126178361128	5.93220258632541	6.1273228536041	5.52386185346016	5.70501638554569	5.62779026949523	6.10160045554223	6.81765198974252	5.3408274683795	6.10506601436066	6.73002315442028	6.07261550184448	6.34160944798907	6.16408890071202	5.73264306108047	6.01802748174379	5.57105056903242	5.85754604408449	5.06393004643578	5.44716762785688	5.74635418725052	5.77580000801333	5.12135318104612	5.74382781702449	5.76940580649281	5.7743209349485	5.78591963270473	6.0779679223977	5.97286093803839	5.16095277792251	5.75909327080989	6.06688224530239	6.00335387136917	6.19227389339124	5.78236482406686	5.73132831094239	5.87078339515238	6.03905001239778	5.76039344518753	5.41258138181973	5.58118045234159	5.95715802422545	6.16333574933758	6.17255999670687	5.32027767606905	6.10869383991927	5.82020682722253	5.44455020909315	5.36916537329008	5.55096482023693	5.64694156848744	6.12070668809426	6.06410697230181	6.31547351043074	5.89476740493408	6.19844548826419	4.5938529557365	6.10069991244694	5.98837018298893	6.3007023797725	5.02203082050655	5.20907804343861	5.40075338771658	5.75153242531595	6.35713961937512	5.7929265248714	5.6210346623281	6.26696442350463
C	0.993141304618483	1.02707439673976	0.980693113454111	0.94806060973526	0.922428114021608	1.04905820946861	1.03388531494685	0.959227382859617	0.879580413931316	0.902769762983592	0.89708829534415	0.895500748704775	0.896973208048719	0.957843850187696	0.973511352531678	0.927473018525175	0.902018349992819	0.88622382506872	0.95729816260983	0.997261174817754	0.90648303337245	0.925752895996103	0.913717226000687	0.945249780785893	0.936579499979483	0.921863405474768	0.913201645092146	0.930311054981459	0.935323426251093	0.866896730237848	0.928575077913452	0.937837252410007	0.807456677045599	0.724273221929577	0.846046070308505	0.877267251307485	0.86798285587605	1.02630406969111	0.976633240403064	0.828612162954157	0.907205483700569	0.945256773012995	0.799250829149324	0.969277698060494	0.908918060164613	0.942106930768467	0.927031050336587	0.932518731154139	0.882528534575247	0.925749699274402	0.97825452006298	0.922407812583382	0.965169166076677	0.841333320390988	0.838605069518302	0.881253003120351	1.00051435628442	0.836977163456469	0.896439736546575	0.868748471654208	0.966096633137584	0.786797537323708	0.937988768897199	0.887320886359951	0.915415151159607	0.848899212957925	1.05130731506377	0.948885543363916	0.93682049880586	0.886263532704894	0.95094544193879	0.954763365256244	0.8858071617581	0.847281789110044	0.876146962834482	0.912807247620246	0.906000833035821	0.906605046474008	0.992015281757402	0.971457378481242	0.908059847749358	0.884034570164258	0.89832880968232	0.79814448960664	0.889976674660797	0.784754638257357	0.85225085700571	1.01497333857661	1.03267770062249	0.795974992082841	0.901048584345934	0.939322103289113	1.03708633895272	0.837819354799665
P	4.49254231004402	4.4759745797212	4.58088381569109	4.45000542011395	4.81491135586429	4.57666054020921	4.07079946903232	5.10467640517157	5.5509387490622	5.61064737720128	5.34604059514976	5.8838454202148	5.47809834586081	4.9103660869572	4.85780599095954	5.02763719023518	4.83557190313561	4.90299659021099	4.88935965418622	4.88153553560286	5.11188333070835	5.01545721078708	5.10112311893876	5.21334301332546	4.99743977220217	4.89711748572272	5.16775474860984	5.20337043389548	4.86395657137734	4.9196412802449	5.08608797833751	4.63982640666003	5.60478480879746	4.93628756652729	5.54596537484962	4.51119382811886	5.03547060127596	5.0333112802704	5.08509562159324	5.42671344193064	5.30242532347183	5.25931448128632	5.40981225880991	4.96720881961253	5.0782390864168	5.09605329540247	4.91272444637658	4.91540122862412	5.25805037418241	4.9261776190494	4.8533705018428	4.84884465553124	4.86298835038939	5.46773635148821	5.5735464999202	4.91730202562277	4.81915285258862	5.47802017485323	5.18871217409779	5.25699107489262	4.8673899350154	5.36645095300852	4.96874489554657	5.44327006317292	4.89386561852243	5.48474804262251	4.77892264101579	4.75641329848876	4.90570157198702	4.38089161486848	5.28089206170213	5.34678682654251	5.46408098548604	5.18807687782757	5.34986387596981	5.2538015431399	5.21406045459955	4.84662045152217	5.06276981852913	5.02430182754361	4.89815176068159	5.35030216672156	4.95030385278503	5.0909505833579	4.96985774828345	5.34989820936214	5.5193658384165	4.65599491474424	4.6826192723432	5.42825130744749	5.26788358832307	4.97782935703485	4.70586785237774	5.1723903156404
L	10.0854639372066	9.41208106034959	9.75393923595629	9.60563618357834	9.77711553499663	10.3089440342957	9.64284348211667	10.1505372174246	10.7112011364506	10.668511276753	10.7186016745523	9.89944022708069	10.0667113970969	9.83020040837582	9.8274255756336	10.0067028686335	9.60548821090368	9.87354632592748	10.2573683896773	10.4102259437364	10.2082898997743	10.1905607779488	10.2805558806457	10.307958650671	10.0608031800349	10.1043379154555	9.96514438432285	9.97040867506525	10.0963738864294	9.77658042553351	9.80861025757056	9.53296950806914	10.1759572242617	9.49352459463615	10.3907965794584	9.225995264797	9.70107089193783	10.0803949986742	10.0369178262651	10.2018845886866	10.1052242265327	9.98890225512953	10.0949063643217	10.3261334372298	10.0683697691148	10.0040387667211	10.1417486727529	10.113595386391	10.2048144729392	10.0959212030517	10.0474523404885	10.1190031485138	10.0392074832121	10.153350611364	9.97048026622952	9.48834065660513	10.0247256548904	9.92055423900545	10.1225453000273	9.97298014252175	10.0606809885798	10.2126320344617	10.1968985807102	10.0412601638223	10.1448531424772	10.2831764131206	10.0547196383939	9.75812610289622	9.93594123168689	9.48884452311365	10.1197068092935	10.2959162978548	10.319770855255	9.96887667247778	10.1782347855286	9.86838190264343	9.95522432464596	10.2979260240712	10.0865711556829	10.1391919401825	9.78196764447025	10.1314461040542	9.97497055359246	9.53004415687577	10.0689083084201	10.3654227032929	10.1449324584403	9.6350513258373	9.55632429942246	10.536038013353	10.2690726917887	10.2438110394284	10.0285232124717	9.88732748108003
X	0	0	0.00274391707882588	0	0.0118269990157136	0	0	0.00743273976443062	0	0	0	0	0	0	0	0	0	0.0146122885521517	0	0	9.10397743670232e-05	6.99896345351254e-05	0	0	0.00187333741304592	0	0	0	0.211561251175842	0	0	0.00306702014073789	0.000888468885415783	0	0.000517278582597566	0	0	0.0010297150006307	0.000192313732931355	0	0	0	0	0.000746642484500381	0	0.000135985411485056	0	0	0	0	0	0	0	0	0	4.37536543994628	0	0	0	0	0	0	0	0	0	0	0.000445327677671827	0	0	0	7.48775938534481e-05	0.218736430067176	0	0	0	0	0.000148756396525051	0	0.000305635148042025	7.69654078974205e-05	0.000362933592225962	0	0.000106689882385074	0.000146287479766613	0	0.000162475080384546	0	0	0	0	0.000310470878762985	0	0	0
F	4.01605803468912	4.06983720222663	3.98639703108172	4.19085048018535	3.80907177510028	4.16820921555414	4.33812498140621	3.70134282138722	3.56773628572141	3.48929581560294	3.57603338195422	3.485724771141	3.58464150136605	3.91790885504987	3.9415893188481	3.60449189341467	3.91713965430091	3.80959958504161	3.78353778666965	3.85169242955839	3.62793500852587	3.7023816772736	3.66994959749472	3.64696846290477	3.64917207406998	3.70754225788069	3.65706513393151	3.73726771852876	3.6956699355266	3.7330664521151	3.69258672661319	3.90153715215679	3.42230137672292	3.83107896968885	3.46510143094035	4.06552166289068	3.74373414291696	3.77384112012398	3.68774403811402	3.43426177244444	3.63669986176311	3.68462072821538	3.52855626576345	3.71461423697889	3.78905338840027	3.70655436084817	3.7898009458694	3.79767122349301	3.61283741956235	3.78671682284495	3.83273083940242	3.80183040717221	3.79390058140782	3.47663744932263	3.62821245258421	3.58254166739031	3.8584554167983	3.64039931260055	3.74852035086654	3.74717985098034	3.79396372181946	3.52665604489991	3.62859045855986	3.62907550292528	3.79011204974774	3.59008682091131	3.96285967168217	4.06124956167594	3.92372951842302	4.12865846128514	3.59449889293477	3.62433075735311	3.7112539856777	3.86089690798832	3.6345865205041	3.75081070209626	3.75022313459479	3.9815921296898	3.72561604584527	3.75875962548632	3.85417328264361	3.43293975282476	3.70320581758591	3.79096689441189	3.69345247872795	3.50158169490754	3.49119446444502	3.87542970334212	3.78273949976404	3.54393318948491	3.56054213182966	3.60574224605287	3.9677770896052	3.61582408138687
Y	2.53326287423327	2.57641724910759	2.34159023714303	2.36978405898554	2.33131937176849	2.46017412135634	2.6840218110418	2.26019921358382	1.93258469452735	1.89547176202731	2.03765720675351	1.93447492877299	2.11198568626234	2.24381635039918	2.26751704783643	2.19559424006632	2.27892063693388	2.23208445443758	2.27925364475572	2.30225719548785	2.28182090473507	2.22469052333349	2.1942409030822	2.2503805876026	2.23168009819856	2.27026184922044	2.15089216697143	2.27476792000766	2.26925832814553	2.27596601936758	2.17519031318653	2.32460957792052	2.05656316004152	2.35525199767867	1.96927956394893	2.78073317100489	2.37255831711703	2.27180872014148	2.23801901469982	1.97572147657981	2.1777907141631	2.22827468189289	1.90357308366667	2.23979170032214	2.20065194338324	2.24124355939095	2.30526024582065	2.29917889237713	2.1076261832954	2.28389740374604	2.35468484880595	2.32749879929559	2.32455858059256	1.96683200512517	2.09211230923674	2.1641281254161	2.36003373341723	2.12235001522774	2.19504051962242	2.16953815658383	2.31156355593462	2.09493040120118	2.28023160327013	2.16133247421133	2.30625953302828	2.03089420383891	2.3758231603792	2.33945596796934	2.37468958306104	2.4420614991973	2.13962724436228	2.14002117687167	2.12167973825016	2.18184151702157	1.96143754731731	2.17023350480169	2.17422349161014	2.28856888370457	2.23472779369627	2.30442127785667	2.32858192772178	1.98547523235332	2.20709359690002	2.23103035392061	2.22165642760932	2.10722055504737	2.02296367744886	2.25550485862019	2.28017764444145	2.08298556226253	2.13684687017412	2.28012599132324	2.40285211582253	2.18846736930018
H	2.01898522295602	2.29401732110029	2.13425300287425	2.06607394505291	2.09547967429067	2.12004794944876	1.96747043765167	2.05297119732551	1.92261583004117	2.0619213422686	1.99373853247678	2.04570459424581	2.11208421143897	2.07354334705193	2.08872917551887	2.14839892106482	2.02189390279614	2.05054015739959	2.06122986060727	2.09630352011897	2.15982760708326	2.1442024436181	2.11412471890608	2.12766420387746	2.10045727274187	2.0912680029026	2.05849445936372	2.09263099210108	2.08792011285195	2.03216591489517	2.04910554627001	2.07234717134483	1.91691200523389	1.78255931034825	2.015095666979	1.94569715714407	2.01292583195803	2.13633684037101	2.07096248536012	2.04222659123878	2.12795246044244	2.19091509801596	2.08328439234513	2.08476156990406	2.0716745693077	2.08227661336492	2.16917625051048	2.17367983652811	2.20566043139475	2.16597067505588	2.19696321322851	2.15526442179412	2.20226985046448	1.98114947437901	1.98225236016164	2.02887916312081	2.21355968491108	2.00820526145729	2.06483139587823	2.04338212230741	2.1986262335403	1.99518742173004	2.09891395877354	2.13439196383451	2.15140893269193	2.08710565051863	2.18355293554439	2.10687089665918	2.10378025451218	1.97989132671963	2.09634799511499	2.06194546022369	1.96054813532024	1.8703943357683	1.98214919969294	2.1146425039151	2.1252826371534	1.97671703420069	2.07014326647564	2.08699400054645	2.02898024733924	2.0833930029071	2.10552482886943	2.03683372453044	2.07184861526331	2.0458862122022	1.97428303604179	2.13483777279958	2.29583810872154	1.99306312637434	2.03948320259405	2.12511308183493	2.19136743998776	2.02491292730678
N	3.48003397530427	3.45147135076299	3.14410023529089	3.62146291631528	2.99962262536035	3.31334814805095	4.87461767635055	2.55072238959352	2.12113373489524	2.07923329771018	2.39972764779292	1.99518684393942	2.22538816456463	2.80756434324989	2.8667980529773	2.54012816402923	2.96140308991646	2.84549455711377	2.80755602535154	2.82820130551913	2.42930533920965	2.56959944232259	2.54353175703432	2.5228660803067	2.68342203437307	2.6577675375842	2.46957392526368	2.65610822403695	2.77148131196897	2.76272521607006	2.70525724211925	3.06203623300919	2.04743616149134	2.6489888844248	2.22688429808252	3.7000276441192	2.60163928369091	2.70242266196773	2.61706938230752	2.06675035226928	2.44588900747242	2.53731722607208	2.31841469639147	2.70752927856688	2.70166435696546	2.69577479727975	2.6929613089357	2.66792122640107	2.3266060543308	2.65720764931477	2.8004080928452	2.72519878328619	2.7717437943833	2.10207951129705	2.17810587426294	2.57949947029299	2.84841110905137	2.22628670158782	2.56745682459708	2.50964099967424	2.74622879327906	2.64314797694683	2.71305196156454	2.20311600463651	2.68098087527866	2.21851115760397	2.9543038136749	3.12775091369814	3.02300055845344	3.56501872967522	2.38245528122901	2.31060573069539	2.32515857486029	2.83500358292602	2.33195578811363	2.53586862445417	2.53280078543377	2.87930704754539	2.64710601719198	2.65176616369773	2.80919673722701	2.1618883271993	2.64153479797204	2.57356248779414	2.70992805282697	2.16871737297292	2.15202398257459	3.08370586474359	2.97850794399874	2.45771962473011	2.32455756347422	2.68771584598419	3.02878102040586	2.40921291126907
T	5.63027232811069	5.50594154021521	5.57804043161816	5.60733754816093	5.60086212598088	5.15822099672245	5.17296824818914	5.08633692770933	5.39341350248319	5.05494110187973	5.35864252738334	5.51496767694616	5.47100453314338	5.68094067685459	5.73231498266569	5.52622375924073	5.93437051765333	5.72304434408803	5.34336383291483	5.08808704457223	5.23414974768327	5.60532985064912	5.53697086991252	5.28819130410817	5.37228566789831	5.46796272533095	5.6924601663933	5.32454221623	5.48454106175405	5.73888065008377	5.92808241674026	5.94235152267966	5.4127139897503	4.94005723950816	5.3290778548605	5.67041069368378	5.43128186811833	5.19137253286722	5.0778518043195	5.10728106308426	5.57699180944373	5.45492282407957	5.16432426198769	5.38308868347925	5.69186168450723	5.50210573409685	5.1656588810286	5.17751460170529	5.34319697393611	5.22509948512792	5.21962160392443	5.24400981909387	5.16468752011328	5.50203356597199	5.36546146399383	5.53406334485374	5.19747887092268	5.46106297196493	5.62001092663975	5.56676462481109	5.18285804456721	5.32563583075985	5.54335251924123	5.42602470461961	5.24267667879072	5.64225464358097	5.32979297829584	5.52721577367335	5.44922826487328	5.3778866340098	5.51855354459298	5.36650794381535	5.6568783195042	5.46572690617012	5.84139104745436	5.87396510723112	5.79354099726288	5.46662609370031	5.14888252148997	5.14906275374533	5.64887989620099	5.27431296452763	5.79294054386234	5.72159590863177	5.54863826012681	5.34283054336541	5.33653040615504	5.89814251183007	5.85378323108384	5.25685598465067	5.3942452359796	5.5244190730261	5.34124629080119	5.51841160041274
G	7.81913407241609	7.98711844941442	8.27676862605212	8.18042181347826	8.56780488563992	8.00425884079677	7.52648109242209	8.81199773463019	8.91121952728676	8.86986655555039	9.01009941419824	8.72039067060237	9.05475930791975	8.42804801481391	8.38964937790788	8.64597196452337	8.39020687108188	8.54650571218076	8.42673921040349	8.46128840613826	8.90687632519772	8.71104989351077	8.85032490254495	8.9424850357814	8.55446148685898	8.36794181675064	8.87166397173353	8.48524842585719	8.37857750726474	8.59542545407653	8.5200275890257	8.4040185631394	9.38061603201719	8.94047388757446	9.10521150782273	8.03995034259326	8.48176897307683	8.74080014004124	8.69719625808759	9.26353898654518	8.85338016968225	8.98298910557259	8.99474854298229	8.52346697328785	8.77545980041829	8.62786640249234	8.45156700786468	8.46491777937757	8.88840177739396	8.53737269697682	8.48259831790759	8.44655531244997	8.47426036772436	9.12516218376189	9.44049737544358	8.21653727921638	8.44928107612734	9.12010677132326	8.7097459556257	8.97168142663465	8.45960534535216	8.81803339955546	8.4688989148538	9.27422779831682	8.46202921506512	8.9989862302411	8.32206097649227	8.32455335486959	8.32214446121125	7.98172313011979	8.91904459185347	8.94424211808532	8.74443861128345	8.50030481609429	9.0083348977241	8.79686159422637	8.85375758657622	8.28227373439288	8.8472970391595	8.73665131206779	8.52304174643645	9.17106431425339	8.52612195080316	8.88989014541707	8.53296757449325	9.22598496455606	9.17165926268074	8.31794853641137	8.08817332973775	8.72481192883969	8.89095455513559	8.49805862426456	8.28600862988949	9.0303687766854
A	10.1066570015964	10.5673924501943	11.2446579364372	10.777850658406	11.2669283649563	11.1328760203082	8.4518495327116	12.851530215299	14.11445115815	13.3939826340852	13.9064203082959	13.7177213096557	13.1004986359189	12.0078167260242	11.7365839701584	12.1317065114969	11.8979316622243	11.8942498731944	11.7431143305383	11.508595726237	12.4057169336712	12.23943733933	12.5732925630974	12.5186667430622	12.1872195569289	12.0430142793304	12.362645516711	11.970311965192	11.8354276161906	12.1735587619926	12.4449861689937	11.4026058169871	13.6942940105082	12.9488266892847	13.6131465612798	10.144473675352	11.7922814493682	12.320861768484	12.5938571147427	13.5677707901223	12.3895742685345	12.219548974094	13.0016807225185	12.0692721321802	12.90969427658	12.0493953408678	12.8004584436628	12.7753127459736	13.803993188272	12.8389615979321	12.296174333351	12.7666897913443	12.5191746583425	13.1236188091101	13.5951127612064	11.7299709963702	12.1942909063375	13.1047119932981	12.3481652350745	12.5159747238609	12.5270443155098	12.4555787223719	12.0439368975813	13.0854520385987	12.7716913058782	13.3845427522008	11.6906308623214	10.8366664858032	11.0580464823374	10.7401309019059	12.6996143055141	12.5542641783635	13.0535537207613	12.5610969101274	12.9024780831057	12.5690650392112	12.7381589908366	11.2737903920257	12.6258643744031	12.5197320064497	11.6852821355013	13.1292156553867	12.9895998702651	12.1216000046812	12.221245770229	13.5693500509359	13.6660145724934	11.3751815200821	11.4407065327311	12.9706759433097	12.613189920625	12.1311221019684	11.5289448465632	12.3217317101954
